start,end,text,file
214.34,221.24," in the car on the screen, including just watching movies while the car is driving, because why not?",
221.32,226.12, So you can watch the entire trip that I took uncut on the autofocus channel if you want. I'll link that,
226.12,233.92000000000002," below. But then the thing is, that's kind of all we got. Like, there were shockingly few details about",
233.92000000000002,239.64000000000001," the actual car actually explained at this event, other than basically like the three main pillars,",
239.64,244.32," which are going to be in all the headlines, which are number one, that it will be fully unsupervised",
244.32,251.95999999999998," self-driving capable. Number two, that it will be able to be purchased for under $30,000. All right.",
252.04,256.8," But then number three, that it would actually also charge by inductive wireless charging. So it pulls",
256.8,263.53999999999996," up over this wireless charging pad on the ground, and it would charge that way. Not something we've seen",
263.54,269.66," shipping in very many cars, especially not ones with large batteries. But that was it. No, no other numbers,",
269.78000000000003,277.38, no other specs. Just look at this thing. There's just concepts of a plan. I just had so many other,
277.38,282.90000000000003," questions from after seeing that, like what is going on here? I did at the event walk around after the",
282.90000000000003,286.48, announcement and bump into some Tesla engineers and people who have been working on these things.,
286.76,292.06, And so I just ended up kind of grilling them. Like I asked them a whole bunch of questions. So I'm going to tell you,
292.06,297.52," guys what I learned from them. And I guess we can take their word for it. So first of all, there is",
297.52,302.32," no steering wheel or pedals, as you can see. So my first question was, all right, let's say I see an",
302.32,305.92, accident coming or there's something happening on the road in front of me and the car isn't reacting,
305.92,313.06," in time. Is there a manual override? And the answer I got was, uh, sure, there will be some sort of minimal",
313.06,320.7," on-screen controls available, but the goal is that you never have to override, which is a noble goal for",
320.7,324.65999999999997," sure. I just, I mean, it's hard to imagine. We live in a world where that's impossible basically",
324.65999999999997,328.84," right now. But, um, I mean, if you, even with the wireless charger picture, you want to like",
328.84,333.82," drive over the top of it and line it up perfectly because if it's, if it's off a little bit, that's",
333.82,340.86, just a giant waste of power. But if I can't adjust it like that would be terrible. But speaking of,
340.86,344.64," wireless charging, you might be wondering why they would try to do this. The main answer again,",
344.64,349.59999999999997," is because they want it to be totally autonomous. They want people to just be able to own several,",
349.6,353.18, like a fleet of these things. And they all just drive around and charge themselves overnight.,
353.62,359.52000000000004, And the whole cable plugging in charging thing requires a human. So that's one less human,
359.52000000000004,364.54, required. It'll just line up on the notoriously inefficient wireless charger. But my question,
364.54,368.96000000000004," again was, okay, is there at least a charge port? So if I want to supercharge or charge quickly,",
368.96000000000004,375.96000000000004," I can do that. And the answer was no, there is no charge port on this vehicle. So it is not even",
375.96,380.44, capable of hitting a Tesla supercharger or doing any sort of road trips or anything like that.,
380.84,385.7, It's purely a taxi. I'm told there's no plans for a front trunk. There's just the rear trunk that,
385.7,391.52, they showed in this presentation. And there's no planned range or stated battery size. But what,
391.52,396.59999999999997, they did say is they're simply aiming for this vehicle to be as efficient as possible. That's their,
396.59999999999997,402.02," main goal. Between the aerodynamics and the low rolling resistance tires, they think they can aim for",
402.02,408.5, about 5.5 miles per kilowatt hour. Some of the most efficient electric cars we see today are getting,
408.5,414.29999999999995, around three to four miles per kilowatt hour. So this would be like an A plus efficiency if they,
414.29999999999995,420.32, achieve this. And that's what will let them use a smaller overall size battery for the lighter weight,
420.32,426.14," of the vehicle. So it'll be nice, they're saying, to clear 200 miles of total range. And that would put",
426.14,432.09999999999997, this at maybe a 40 kilowatt hour battery pack instead of the typical 70 to 130. So drivetrain,
432.09999999999997,436.8," wise, that logic does check out. If you want to make the cheapest, most efficient electric car of",
436.8,443.68," all time, you got to hit those things. But then again, you're also telling us this while doing a car",
443.68,449.36," with scissor doors and wireless charging. So that's, you're gonna have some challenges there for sure.",
449.41999999999996,454.14," But really, I think the obvious red flag, the biggest red flag to me is the timeline stuff that,",
454.14,459.06," I mean, this is notorious Elon stuff, he gets on stage, he says, we're gonna have this vehicle out",
459.06,467.82," for $30,000 before 2027. No, they're not. There's just no way that they're actually going to be able",
467.82,473.88," to do that. I mean, if they, if they do, let's say they do, I will shave my head on camera, because",
473.88,477.56," I'm that confident they won't do it. Like I want to be optimistic, but there's just too much stacked up",
477.56,481.44," against it. Because in order to ship this at all with no steering wheel and everything, they have to get",
481.44,486.06," all the regulatory approval for the full self driving and all that, and get all the prices down",
486.06,491.7," in spite of inflation, and ship something with scissor doors and all this stuff in the next two",
491.7,498.94," years, I just, there's just no way. Tesla's been promising full unsupervised self driving for years,",
499.3,504.3," over and over and over again, and consistently keeps pushing it back. But then also just price wise,",
504.3,513.34," I get the goal, but Tesla promised a $35,000 Model 3. And years later, I think they briefly actually",
513.34,519.0600000000001," shipped that car for that price for a little bit before discontinuing it. Cybertruck, I don't know",
519.0600000000001,523.48," if you remember the, do you remember the base price of what they said the Cybertruck would cost at the",
523.48,530.5600000000001," cheapest version when it came out? $39,000. And that was about what, like four or five years ago? Do you",
530.56,536.4399999999999," know what the cheapest Cybertruck is right now? $95,000. So you can see where my skepticism is",
536.4399999999999,540.38," coming from. But even after all that, you know, there's kind of a philosophical question too, which",
540.38,547.5799999999999," is, what is the difference between this, this robotaxi thing and a Model 3? Because Tesla has been",
547.5799999999999,554.8599999999999," promising for years, that the car that people are driving and buying today is going to be capable of",
554.8599999999999,560.54," full unsupervised self driving, like the Model 3 and the Model Y. And it's actually not clear",
560.54,564.28," if there's that many differences. I mean, obviously, okay, one's going to have a steering wheel,",
564.48,569.52," and four doors and four seats and the whole thing, and maybe be a bit more expensive. But like,",
570.64,577.2199999999999," yeah, what if my car is going to be able to do all that stuff? I think I want the one that can plug",
577.2199999999999,581.9, into superchargers and do all sorts of carrying things. Maybe this will be an old fashioned way of,
581.9,586.14," thinking it sometime in the future, like every every car on the road is autonomous. And it's like an old",
586.14,592.16, school thing to want the one with the steering wheel that you can drive sometimes. Maybe. I think,
592.16,598.54," the main advantage of the robotaxi, if it has the exact same capabilities as a Model 3, is it'll be",
598.54,605.06, cheaper and smaller and easier to operate in a fleet situation. That will probably be the main difference,
605.06,609.96, as far as actually buying these things. Because they've been selling people the dream of the car that,
609.96,615.62," you buy and own today, you'll drive it to work. And then when you're at work, it'll go drive people",
615.62,620.9000000000001, around as an Uber for 10 hours or however long. And then you drive it home when you need it. And,
620.9000000000001,625.22," then when you're sleeping, it'll continue to drive and Uber people around. And so it has all these",
625.22,631.3000000000001, amazing capabilities. It'll do all this great stuff. But will it though? There's actually a moment.,
631.36,634.88," I had to rewatch the event because I was there and people are like yelling out the whole time,",
634.88,640.24," like stuff at Elon on stage. And at this point in the presentation, he goes like, oh yeah,",
640.3,644.64," Model 3 and Model Y will also do full self-driving. And then someone goes like, what about the",
644.64,650.32," Cybertruck? And then he says, oh yeah, don't worry, Cybertruck 2. So, and it's Cybertruck 2. Yes,",
650.36,654.98," of course. Sorry. I don't want to be, yes, yes. All our cars, basically. So yeah, okay. All our",
654.98,660.0," vehicles. Great. But then it's kind of quiet, but then someone else yells out, what about hardware 3?",
660.0,666.92," Which is a, basically, if you don't know, a reference to older Model 3s and his response.",
667.04,677.86," So let's not get nuance here. All right. Next slide. So yeah, let's not get too nuance. Let's",
677.86,682.0," just get, all our cars will have it, except maybe some of the old ones. All our cars will be able",
682.0,686.16, to self-drive though. Totally. We'll cross that bridge when we get to it. How about that? But here's a,
686.16,689.66," bridge that I don't think we'll ever actually get to cross, which is the second thing that was",
689.66,695.9," insane that was announced at this event, which is the Robo Van. So somewhere about halfway through",
695.9,704.04," this presentation, they roll out this one-of-one super futuristic looking massive van thing. Kind",
704.04,709.0799999999999," of looked like a, it looked like the military vehicles from iRobot, to be honest, which that's",
709.0799999999999,714.92," probably not a good thing, but yeah, it rolls out and they give us, again, very, very few details.",
714.92,719.66," This is going to be a Robo Van that can hold like up to 20-ish people. And it again, it'll be fully",
719.66,725.54, electric and fully autonomous and take groups or teams of people from point A to point B. No manual,
725.54,732.5," override necessary. Great. Have you ever been to CES? Have you ever heard of, have you ever watched",
732.5,740.16," videos from CES? Every year in January, there's this trade show. It's really fun in Vegas. And if you ever",
740.16,745.54," go, you'll notice in the South Hall, there's a section with all the cars, the mobility section.",
746.3199999999999,754.2199999999999, And you'll find about 50 of these every year. There's just like a van with no steering wheel,
754.2199999999999,759.52, and a bunch of seats that all face the middle. And it's like the future of mobility concept.,
760.0799999999999,767.76," There's tons of those. None of them ever ship, of course, because there are rules. But I guess",
767.76,773.7, there's not to me a whole lot that differentiates that brief concept we saw at the Tesla event with,
773.7,778.08," dozens of other vaporware versions of this that I've seen before. That's all I'm saying. I mean,",
778.18,782.34, the fact that this one comes from Tesla is the main differentiator. This is the company that could,
782.34,787.58," maybe theoretically make it happen. But like I said, there's almost no details about this thing.",
787.7,794.76, And I have almost no faith that that thing that they showed with its minimal clearance and its,
794.76,799.4, glass everywhere and just lack of numbers or anything. I don't think that we'll ever actually,
799.4,803.8199999999999," see that thing. I could eat my words, but like that seems crazy. But then last but not least,",
803.92,808.72," Tesla decided to bring back, they decided to remind us that they're also an AI company,",
808.72,816.38, not just a car company by bringing back out the Optimus humanoid robot again. So they have these,
816.38,824.08," things all over this event this time, dancing, doing these pre rehearsed demos, but also,",
824.68,829.28," they were just kind of out and about, they were serving drinks and snacks. And they were walking",
829.28,834.66, around and interacting with and entertaining people just like hanging out amongst everyone,
834.66,839.26," at this event. Now, I already have my thoughts that I've talked about, you know, humanoid robots",
839.26,842.14," before I made a whole video about it. If you want to watch it, I'll leave a link below the like button.",
842.14,850.06, I've talked about Tesla's Optimus. But even just what we saw with that would have been a huge step,
850.06,853.3199999999999, forward from what we've ever seen. Like this would have been one of the most impressive things ever.,
853.76,860.28, But then they decided to take it further. They also decided to have these robots talking to people.,
861.38,870.64," And it was just, I mean, it was way too fast to be an LLM. Like it's just, I'll just watch this,",
870.64,871.22, watch this clip.,
872.06,872.68, Which one are you talking to?,
872.68,873.1, A piece of chocolate?,
874.18,875.5, I'm talking to chocolate.,
876.02,877.34, Right on. What's your name?,
877.64,878.04, Vanessa.,
879.64,880.04, Vanessa?,
880.48,881.38," Yes, Vanessa.",
882.08,883.4399999999999," Nice. Pleasure to meet you, Vanessa.",
883.56,884.66, Nice to meet you too.,
884.66,885.3199999999999, Have a great night.,
885.3199999999999,886.5, Hi Optimus. Thank you.,
886.86,887.12, Bye.,
887.42,892.08," Like it's just, it's just a person. It's a person talking through a speaker. It even like stutters and",
892.08,896.0," makes occasional like human mistakes. If you watch a bunch of videos from the event,",
896.0,901.84," a bunch of different robots all have slightly different voices. Yeah, it was a person for sure.",
901.9,906.42," And it's weird because Tesla at no point, at least as of the time of recording, has not",
906.42,910.42, acknowledged this at all. They haven't said that or confirmed that. But people there at the event,
910.42,915.34," have heard various things from various engineers. I talked to two engineers who only would tell me,",
915.34,925.0400000000001," yes, all of the LLMs do run totally on device. But like, yeah, I don't, that, no, I don't think so.",
925.1,929.58, So this kind of became like the talking point of the whole event. Like how now we don't know,
929.58,937.76, how much of this event was real or not so real. Like how much of what these robots are doing,
937.76,943.9000000000001," is human controlled or AI. You know, there were all kinds of hand waving and gestures and movements.",
943.9,948.5, I played charades with one of them. You know what it reminds me of? Remember that video I did at,
948.5,953.52," Disney's Imagineering Labs where they had these, these bipedal robots that were controlled by a",
953.52,958.1, Steam Deck controller. They did all kinds of walking around and stringing animations together to,
958.1,962.3, entertain people at the parks. There's just a bunch of button presses and controllers to make that,
962.3,967.22," happen. And sure, there's some AI to blend that stuff, but you could never deny that there's",
967.22,973.88, basically entirely human control happening here. And that's basically what I think is happening,
973.88,979.46, at this Tesla event. Lots of impressive and entertaining things in the form of a super,
979.46,984.98," advanced articulating robot string animations together. But there's, it's just not totally",
984.98,990.22," ready to do this stuff on its own. We've never seen anything quite like it, even from Boston",
990.22,995.14," Dynamics, but we got to be real about the human assisted part. But the thing is the dream that",
995.14,1000.9, they are selling people with this specific robot is that this thing will live with you.,
1000.9,1007.28," Basically, it will be your human sized friend. Actually, they said that it'll be your friend,",
1007.28,1011.88," it would do chores for you, it would live around you and be able to do all these sorts of tasks",
1011.88,1018.48," on its own using the AI and the vision based system. That's, I think that's a really far off dream.",
1018.9,1022.88," AI is really, really quickly improving, but I still think that's a far off dream. So you know,",
1023.14,1029.28," to their credit, this event, it was insane. Like they did a lot of things that could have gone wrong.",
1029.28,1035.72," And if you told me in 2024, that a company would do a bunch of self driving car demos around tons",
1035.72,1041.3799999999999," of people just loose in the road, and they would have bipedal humanoid robots roaming around performing",
1041.3799999999999,1047.84," tasks and entertaining people at the same event, and that they would have a drone show. Like that is",
1047.84,1053.72," just a lot of stuff in a row that is super high tech that could go wrong, but somehow didn't.",
1053.72,1060.42," And it represented, I think, a very optimistic view of the future, even though it's very much still",
1060.42,1070.52," like concepts. It's a future that is potentially way more efficient, potentially way safer, and more",
1070.52,1076.2," impressive in general technologically than the world we live in today. So that by itself, I think,",
1076.2,1082.74, is honorable. The things that they were hoping to be real would be amazing and inspirational and,
1082.74,1090.38," honorable if they actually happened. But since they're also a public tech company, they felt the",
1090.38,1097.8," need to do demos and give all these big promises. And that's where it felt weird, because it's really",
1097.8,1102.1200000000001, hard to make promises about when we're going to deliver this future and for what price we're going,
1102.12,1107.4399999999998," to deliver this future when it just feels very unlikely. And then doing the like robots talking,",
1107.52,1111.86, it's just like now the whole thing is in question. Like how much of it is real? How much of it is fake?,
1112.54,1117.6999999999998, And then now we're focusing on that instead of how cool the future could someday actually be.,
1117.86,1125.02," That's where I'm at. But hey, if there is one company that has the best chance of bringing this all",
1125.02,1131.12," to life, if there's if you made me bet money on one company that I think has the best odds to get",
1131.12,1138.54," there eventually, then it would be the one with the massive data gathering advantage with stuff out",
1138.54,1144.52," there in the real world today, it would be Tesla. So I'll believe it when I see it.",
1145.7,1149.12, Thanks for watching. Catch you guys in the next one. Peace.,
